GC#, ext frag before GC, ext frag after GC, is full GC
290, 15, 36, 0
291, 12, 35, 0
292, 15, 36, 0
293, 12, 35, 0
294, 15, 36, 0
295, 12, 35, 0
296, 15, 36, 0
297, 12, 35, 0
298, 15, 36, 0
299, 12, 35, 0
300, 15, 36, 0
301, 12, 35, 0
302, 15, 36, 0
303, 12, 35, 0
304, 15, 36, 0
305, 12, 35, 0
306, 15, 36, 0
307, 12, 35, 0
308, 15, 36, 0
309, 12, 35, 0
310, 15, 36, 0
311, 12, 35, 0
312, 15, 36, 0
313, 12, 35, 0
314, 15, 36, 0
315, 12, 35, 0
316, 15, 36, 0
317, 12, 35, 0
318, 15, 36, 0
319, 12, 35, 0
320, 15, 36, 0
321, 12, 35, 0
322, 15, 36, 0
323, 12, 35, 0
324, 15, 36, 0
325, 12, 35, 0
326, 15, 36, 0
327, 12, 35, 0
328, 15, 36, 0
329, 12, 35, 0
330, 15, 36, 0
331, 12, 35, 0
332, 15, 36, 0
333, 12, 35, 0
334, 15, 36, 0
335, 12, 35, 0
336, 15, 36, 0
337, 12, 35, 0
338, 15, 36, 0
339, 12, 35, 0
340, 15, 36, 0
341, 12, 35, 0
342, 15, 36, 0
343, 12, 35, 0
344, 15, 36, 0
345, 12, 35, 0
346, 15, 36, 0
347, 12, 35, 0
348, 15, 36, 0
349, 12, 35, 0
350, 15, 36, 0
351, 12, 35, 0
352, 15, 36, 0
353, 12, 35, 0
354, 15, 36, 0
355, 12, 35, 0
356, 15, 36, 0
357, 12, 35, 0
358, 15, 36, 0
359, 12, 35, 0
360, 15, 36, 0
361, 12, 35, 0
362, 15, 36, 0
363, 12, 35, 0
364, 15, 36, 0
365, 12, 35, 0
366, 15, 36, 0
367, 12, 35, 0
368, 15, 36, 0
369, 12, 35, 0
370, 15, 36, 0
371, 12, 35, 0
372, 15, 36, 0
373, 12, 35, 0
374, 15, 36, 0
375, 12, 35, 0
376, 15, 36, 0
377, 12, 35, 0
378, 15, 36, 0
379, 12, 35, 0
380, 15, 36, 0
381, 12, 35, 0
382, 15, 36, 0
383, 12, 35, 0
384, 15, 36, 0
385, 12, 35, 0
386, 15, 36, 0
387, 12, 35, 0
388, 15, 36, 0
389, 12, 35, 0
390, 15, 36, 0
391, 12, 35, 0
392, 15, 36, 0
393, 12, 35, 0
394, 15, 36, 0
395, 12, 35, 0
396, 15, 36, 0
397, 12, 35, 0
398, 15, 36, 0
399, 12, 35, 0
400, 15, 36, 0
401, 12, 35, 0
402, 15, 36, 0
403, 12, 35, 0
404, 15, 36, 0
405, 12, 35, 0
406, 15, 36, 0
407, 12, 35, 0
408, 15, 36, 0
409, 12, 35, 0
410, 15, 36, 0
411, 12, 35, 0
412, 15, 36, 0
413, 12, 35, 0
414, 15, 36, 0
415, 12, 35, 0
416, 15, 36, 0
417, 12, 35, 0
418, 15, 36, 0
419, 12, 35, 0
420, 15, 36, 0
421, 12, 35, 0
422, 15, 36, 0
423, 12, 35, 0
424, 15, 36, 0
425, 12, 35, 0
426, 15, 36, 0
427, 12, 35, 0
428, 15, 36, 0
429, 12, 35, 0
430, 15, 36, 0
431, 12, 35, 0
432, 15, 36, 0
433, 12, 35, 0
434, 15, 36, 0
435, 12, 35, 0
436, 15, 36, 0
437, 12, 35, 0
438, 15, 36, 0
439, 12, 35, 0
440, 15, 36, 0
441, 12, 35, 0
442, 15, 36, 0
443, 12, 35, 0
444, 15, 36, 0
445, 12, 35, 0
446, 15, 36, 0
447, 12, 35, 0
448, 15, 36, 0
449, 12, 35, 0
450, 15, 36, 0
451, 12, 35, 0
452, 15, 36, 0
453, 12, 35, 0
454, 15, 36, 0
455, 12, 35, 0
456, 15, 36, 0
457, 12, 35, 0
458, 15, 36, 0
459, 12, 35, 0
460, 15, 36, 0
461, 12, 35, 0
462, 15, 36, 0
463, 12, 35, 0
464, 15, 36, 0
465, 12, 35, 0
466, 15, 36, 0
467, 12, 35, 0
468, 15, 36, 0
469, 12, 35, 0
470, 15, 36, 0
471, 12, 35, 0
472, 15, 36, 0
473, 12, 35, 0
474, 15, 36, 0
475, 12, 35, 0
476, 15, 36, 0
477, 12, 35, 0
478, 15, 36, 0
479, 12, 35, 0
480, 15, 36, 0
481, 12, 35, 0
482, 15, 36, 0
483, 12, 35, 0
484, 15, 36, 0
485, 12, 35, 0
486, 15, 36, 0
AVG frag before:
13
AVG frag after:
35
